Senaryo;SpinNo;Bahis;BakiyeOnce;BakiyeSonra;Odenen;Cluster;Tumble;CarpanDeger;CarpanKaynak;Bonus;BonusOdenen;ArdKayipOnce;Kacis;Kategori;SpinTipi;SureMs;ClusterDetay
"0. Normal Oyun";562;100;100140;100040;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";563;100;100040;99940;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";564;100;99940;99930;90;3;3;0;-;False;0;0;False;Normal;Normal;0;"S2x8=40TL | S2x8=20TL | S1x8=30TL"
"0. Normal Oyun";565;100;99930;100010;180;4;4;0;-;False;0;0;False;Normal;Normal;0;"S1x8=30TL | S1x8=60TL | S2x8=40TL | S3x8=50TL"
"0. Normal Oyun";566;100;100010;99910;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";567;100;99910;99810;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";568;100;99810;99710;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";569;100;99710;99610;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";570;100;99610;99510;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";571;100;99510;99410;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";572;100;99410;99310;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";573;100;99310;99210;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";574;100;99210;99110;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";575;100;99110;99010;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";576;100;99010;98910;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";577;100;98910;99510;700;1;1;8;DOGAL;False;0;0;False;MegaWin;Normal;0;"S0x8=20TL"
"0. Normal Oyun";578;100;99510;99890;480;1;1;3;DOGAL;False;0;0;False;BigWin;Normal;0;"S0x8=20TL"
"0. Normal Oyun";579;100;99890;99790;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";580;100;99790;99690;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";581;100;99690;99590;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";582;100;99590;99490;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";583;100;99490;99390;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";584;100;99390;99340;50;1;1;0;-;False;0;0;False;Normal;Normal;0;"S3x8=50TL"
"0. Normal Oyun";585;100;99340;99240;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";586;100;99240;99140;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";587;100;99140;99040;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";588;100;99040;98940;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
"0. Normal Oyun";589;100;98940;98840;0;0;0;0;-;False;0;0;False;Normal;Normal;0;"-"
